time	V(n002)	V(n003)
6.383633394067098e-05	-9.803944e+00	9.339178e-03
6.403164644067098e-05	-9.334055e+00	9.540817e-03
6.422695894067099e-05	-8.824974e+00	9.706547e-03
6.442227144067099e-05	-8.279239e+00	9.835742e-03
6.461758394067100e-05	-7.699444e+00	9.927919e-03
6.481289644067100e-05	-7.088227e+00	9.982729e-03
6.520352144067102e-05	-5.782297e+00	9.979567e-03
6.559414644067103e-05	-4.383307e+00	9.826302e-03
6.598477144067104e-05	-2.913445e+00	9.525240e-03
6.637539644067105e-05	-1.395054e+00	9.080910e-03
6.657070894067106e-05	-6.246607e-01	8.807027e-03
6.676602144067106e-05	1.494595e-01	8.499995e-03
6.715664644067107e-05	1.697636e+00	7.791232e-03
6.754727144067108e-05	3.226920e+00	6.965281e-03
6.793789644067109e-05	4.714614e+00	6.034567e-03
6.832852144067111e-05	6.137848e+00	5.013086e-03
6.871914644067112e-05	7.473596e+00	3.916204e-03
6.891445894067112e-05	8.101437e+00	3.344606e-03
6.910977144067113e-05	8.698723e+00	2.760419e-03
6.930508394067113e-05	9.262539e+00	2.165843e-03
6.950039644067114e-05	9.789915e+00	1.563114e-03
6.969570894067114e-05	1.027773e+01	9.545032e-04
6.989102144067115e-05	1.072246e+01	3.422994e-04
7.008633394067116e-05	1.111936e+01	-2.711928e-04
7.028164644067116e-05	1.145915e+01	-8.836643e-04
7.047695894067117e-05	1.172318e+01	-1.492810e-03
7.064397186316955e-05	1.186211e+01	-2.009325e-03
7.082327951221990e-05	1.193107e+01	-2.557669e-03
7.088773847769223e-05	1.194126e+01	-2.752899e-03
7.099349999949575e-05	1.194857e+01	-3.070743e-03
7.109719826426284e-05	1.195286e+01	-3.379096e-03
7.126532520774011e-05	1.195659e+01	-3.871270e-03
7.145181631451615e-05	1.195857e+01	-4.404515e-03
7.164712881451616e-05	1.195904e+01	-4.946750e-03
7.184244131451616e-05	1.195808e+01	-5.470365e-03
7.203775381451617e-05	1.195510e+01	-5.973392e-03
7.223306631451617e-05	1.194758e+01	-6.453936e-03
7.242837881451618e-05	1.192782e+01	-6.910189e-03
7.257433365462853e-05	1.188737e+01	-7.234253e-03
7.270314947024696e-05	1.180682e+01	-7.507650e-03
7.283681878995881e-05	1.166172e+01	-7.778346e-03
7.303213128995882e-05	1.136930e+01	-8.149090e-03
